Model,RMSE,R2,Directional_Accuracy
Ridge (L2),0.0011058595908476753,-0.02453108824056834,0.4923857868020305
Random Forest,0.0011301963461018063,-0.07109879570130355,0.48561759729272413
Gradient Boosting,0.0011948512851040094,-0.19916958064484117,0.4983079526226734
