Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-04 09:30:00,279.6549987792969,280.6300048828125,276.7200012207031,277.05010986328125,3283368,0.0,0.0
2026-05-04 09:35:00,277.1282958984375,277.4599914550781,276.1650085449219,277.16009521484375,1016492,0.0,0.0
2026-05-04 09:40:00,277.1600036621094,277.1700134277344,276.1600036621094,276.7799987792969,860936,0.0,0.0
2026-05-04 09:45:00,276.7900085449219,277.6080017089844,276.510009765625,277.55841064453125,771532,0.0,0.0
2026-05-04 09:50:00,277.57501220703125,277.6700134277344,276.04998779296875,276.17999267578125,1071292,0.0,0.0
2026-05-04 09:55:00,276.1600036621094,276.42999267578125,275.4100036621094,275.45001220703125,1076452,0.0,0.0
2026-05-04 10:00:00,275.43499755859375,275.760009765625,274.8800048828125,275.04998779296875,953965,0.0,0.0
2026-05-04 10:05:00,275.0400085449219,275.92999267578125,274.860107421875,275.8988037109375,723998,0.0,0.0
2026-05-04 10:10:00,275.885009765625,276.125,275.614990234375,276.1050109863281,558337,0.0,0.0
2026-05-04 10:15:00,276.1099853515625,276.45001220703125,275.70001220703125,276.42498779296875,634811,0.0,0.0
2026-05-04 10:20:00,276.3800048828125,276.4700012207031,275.989990234375,276.0799865722656,454908,0.0,0.0
2026-05-04 10:25:00,276.0400085449219,276.29998779296875,275.8999938964844,276.25360107421875,437563,0.0,0.0
2026-05-04 10:30:00,276.2749938964844,276.7300109863281,276.07000732421875,276.5799865722656,696539,0.0,0.0
2026-05-04 10:35:00,276.57501220703125,277.8399963378906,276.57501220703125,277.510009765625,685784,0.0,0.0
2026-05-04 10:40:00,277.510009765625,277.82000732421875,277.3500061035156,277.7250061035156,521050,0.0,0.0
2026-05-04 10:45:00,277.7300109863281,277.92999267578125,277.114990234375,277.3299865722656,467007,0.0,0.0
2026-05-04 10:50:00,277.32501220703125,278.0,277.2300109863281,277.8800048828125,295630,0.0,0.0
2026-05-04 10:55:00,277.8949890136719,277.92999267578125,277.17999267578125,277.3299865722656,331571,0.0,0.0
2026-05-04 11:00:00,277.32000732421875,277.44000244140625,277.010009765625,277.06500244140625,300971,0.0,0.0
2026-05-04 11:05:00,277.0350036621094,277.7250061035156,277.010009765625,277.7250061035156,394022,0.0,0.0
2026-05-04 11:10:00,277.7449951171875,277.8800048828125,277.239990234375,277.5400085449219,351174,0.0,0.0
2026-05-04 11:15:00,277.5400085449219,277.6600036621094,277.0899963378906,277.0899963378906,414956,0.0,0.0
2026-05-04 11:20:00,277.05999755859375,277.239990234375,276.6700134277344,276.95001220703125,362395,0.0,0.0
2026-05-04 11:25:00,277.0,277.2300109863281,276.760009765625,276.8349914550781,274379,0.0,0.0
